Track URI,song_name,cover_artist_id,cover_artist_name,cover_release_year,cover_song_popularity,control_artists_name,cover_artists_popularity,cover_artists_followers,original_song_artist ,original_release_year,original_song_popularity,control_song_name
spotify:track:3T5X9UDD29mFzJeRQtUfst,The Winner Takes It All,72OaDtakiy6yFqkt4TsiFt,Cher,2018,43,Cher,72,2348933,ABBA,1980,75,The Winner Takes It All
spotify:track:1lWVWoreT4vPIEedV1XoNS,The Winner Takes It All,4alZ73UZp90icEjdKjSIxw,At Vance,2006,50,At Vance,43,36281,ABBA,1980,75,The Winner Takes It All
spotify:track:3eoxUlcHRbEzg0f2RYO2pO,Redemption Song,0XHiH53dHrvbwfjYM7en7I,Chris Cornell,2018,35,Chris Cornell,65,1701401,Bob Marley & The Wailers,1980,71,Redemption Song
spotify:track:6ArficY3dtVMWYkyTYkAJP,Redemption Song,6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,2003,49,Johnny Cash,79,5076853,Bob Marley & The Wailers,1980,71,Redemption Song
spotify:track:52Wq5yvroMd5eb83x6DUKe,Redemption Song ,7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,2019,21,Stevie Wonder,82,5420467,Bob Marley & The Wailers,1980,71,Redemption Song 
spotify:track:5z7i5Woat9TImToSzXiwBN,Redemption Song,7zYGAXxAaq15C9eM29M8Fj,Eternal,1995,15,Eternal,50,79704,Bob Marley & The Wailers,1980,71,Redemption Song
spotify:track:5xMIsJf9zm88oTqGT2Icqx,Ace of Spades ,71vVmHeNgCVSa5SVmfvscU,Saxon,2019,10,Saxon,54,438148,Motörhead,1980,76,Ace of Spades 
spotify:track:3IEf44NMYCOAjBUTJrMXIa,Ace of Spades,6SYbLA9utoNsllunR1TnkM,Sodom,2003,12,Sodom,51,321795,Motörhead,1980,76,Ace of Spades
spotify:track:7yCz8KfMwOKYTYFdF6x7Z0,Ace of Spades,3XsgWn63EnA4wYZBjVyxjf,Ugly Kid Joe,2015,28,Ugly Kid Joe,58,165797,Motörhead,1980,76,Ace of Spades
spotify:track:6z2IGbRAxckusZeMstZ0vH,Back In Black ,6Fi8CHfO8WGtu3yO8c2Mc4,2CELLOS,2013,38,2CELLOS,63,862323,AC/DC,1980,86,Back In Black 
spotify:track:60F4uRKX46GGnGZWsNeFFp,Ashes to Ashes ,4DFhHyjvGYa9wxdHUjtDkc,A Perfect Circle,2013,34,A Perfect Circle,66,1464111,David Bowie,1980,66,Ashes to Ashes 
spotify:track:323zAiM19cVLQY0pFlwyb7,Ashes to Ashes,3AmgGrYHXqgbmZ2yKoIVzO,Warpaint,2010,53,Warpaint,54,428802,David Bowie,1980,66,Ashes to Ashes
spotify:track:0byQIVd1O3UPD580y1ZmRy,Super Trouper,5gInJ5P5gQnOKPM3SUEVFt,Camera Obscura,2007,38,Camera Obscura,50,152725,ABBA,1980,73,Super Trouper
spotify:track:06dYi4eshvlL13rwgUtq7p,Could You Be Loved,0PFtn5NtBbbUNbU9EAmIWF,TOTO,2003,19,TOTO,76,2126050,Bob Marley & The Wailers,1980,78,Could You Be Loved
spotify:track:5HZ9Ar2N2lal46zkJWSnDT,A Forest,1MK0sGeyTNkbefYGj673e9,Behemoth,2020,31,Behemoth,56,454920,The Cure,1980,66,A Forest
spotify:track:1DYFXgGvXys20JMca3vxGk,A Forest,4X42BfuhWCAZ2swiVze9O0,Steven Wilson,2005,23,Steven Wilson,55,323632,The Cure,1980,66,A Forest
spotify:track:0bJ8bYR59Qq7r0kmMglrXl,Breaking The Law,1DFr97A9HnbV3SKTJFu62M,Motörhead,2017,53,Motörhead,69,3053732,Judas Priest,1980,72,Breaking The Law
spotify:track:3UJhB9zmE7dCX8KqH2JEQy,Breaking the Law,5GLeyUhj8B8f5pJxqZllKl,Doro,2004,38,Doro,48,141932,Judas Priest,1980,72,Breaking the Law
spotify:track:3ZI3sK9ZJB3LOiZtCs9l3p,Every Time You Go Away,6rqU9HQ57NYGBnBzbrY3a4,Paul Young,1985,62,Paul Young,64,710851,Daryl Hall & John Oates,1980,49,Every Time You Go Away
spotify:track:6BrmXk2ygV7xXukF1Nwb3J,Everytime You Go Away,5rIqOJspxDq89aBBCUda1X,Smokie,2001,33,Smokie,62,426468,Daryl Hall & John Oates,1980,49,Everytime You Go Away
spotify:track:5Lrgau7HgSVX01iFIkRe0F,Lay All Your Love on Me,1Ih0fEQQsy9EeAJbYEeQRa,Avantasia,2008,54,Avantasia,57,351775,ABBA,1980,71,Lay All Your Love on Me
spotify:track:4FcmUKSY0Z5BfDe4PzEipI,Lay All Your Love on Me,4pQN0GB0fNEEOfQCaWotsY,Helloween,1999,34,Helloween,63,924191,ABBA,1980,71,Lay All Your Love on Me
spotify:track:3FmrRgTKW28VXm2RrkF6fN,Lay All Your Love on Me,0z5DFXmhT4ZNzWElsM7V89,Erasure,1992,38,Erasure,66,804178,ABBA,1980,71,Lay All Your Love on Me
spotify:track:52wGptVLCMeGl3N0pUl2DZ,Everybody's Gotta Learn Sometimes,2KSj2QZF42ffJv8uLJk3uU,Unitopia,2012,40,Unitopia,29,8968,The Korgis,1980,57,Everybody's Gotta Learn Sometimes
spotify:track:4AkAI8T1bAsTxrg6VSvDsT,Crazy Train,5kUzPpkPyNpxRYd66c8nYG,Mystic Prophecy,2013,44,Mystic Prophecy,47,40368,Ozzy Osbourne,1980,79,Crazy Train
spotify:track:24wuzgcyrXzIAOA7BPZoeh,Crazy Train,0hWRiJV8KlRZvsZeemUJVv,Fun Lovin' Criminals,1999,26,Fun Lovin' Criminals,51,92053,Ozzy Osbourne,1980,79,Crazy Train
spotify:track:3yeFkD1S2WZ26OVgkjfozQ,Hells Bells,7cTq0bYGTIlPoXo9lFXJlL,Van Canto,2018,21,Van Canto,48,125034,AC/DC,1980,76,Hells Bells
spotify:track:3wjwYYfKR3gOh7jomRCwJa,Hells Bells,3u4HBuoQ4dgPBzX2Q9uf5S,Red Fang,2021,43,Red Fang,48,204626,AC/DC,1980,76,Hells Bells
spotify:track:4BwW3qcLXHyaD2RQNmUjrd,Hells Bells,7yz0vJbLEFfVLg8LKSvxdB,Razed In Black,2014,3,Razed In Black,25,10699,AC/DC,1980,76,Hells Bells
spotify:track:2opcBcHxrfCpM1Jw7OcrD7,Hells Bells,5QO1NNCLglKxgogzx6XLJn,Gregorian,2019,23,Gregorian,55,136578,AC/DC,1980,76,Hells Bells
spotify:track:1IgKfP9Lt6cDhw3huPCTDL,Hells Bells,7siPLyFwRFYQkKgWKJ5Sod,The Dandy Warhols,2001,20,The Dandy Warhols,62,259510,AC/DC,1980,76,Hells Bells
